Produto;Data;Quantidade;Valor Total;Categoria
Prismacolor Color Pencil Set;24/05/2011;1;23,7;Office Supplies
Newell 314;24/05/2011;24;126,58;Office Supplies
StarTAC 6500;25/05/2011;50;4872,67;Technology
Xerox 199;25/05/2011;33;140,63;Office Supplies
Eldon Pizzaz Desk Accessories;25/05/2011;13;33,11;Furniture
Storex DuraTech Recycled Plastic Frosted Binders;25/05/2011;48;204,15;Office Supplies
Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;25/05/2011;16;115,34;Office Supplies
Canon PC1080F Personal Copier;25/05/2011;28;17599,39;Technology
Global Commerce Series High-Back Swivel/Tilt Chairs;25/05/2011;45;12457,63;Furniture
GBC Laser Imprintable Binding System Covers, Desert Sand;26/05/2011;31;413,12;Office Supplies
Xerox 220;26/05/2011;42;286,73;Office Supplies
3M Polarizing Light Filter Sleeves;26/05/2011;44;823,63;Furniture
Avery Non-Stick Binders;26/05/2011;15;68,03;Office Supplies
O'Sullivan 3-Shelf Heavy-Duty Bookcases;27/05/2011;17;979,52;Furniture
1726 Digital Answering Machine;27/05/2011;49;891,61;Technology
Newell 333;27/05/2011;21;58,14;Office Supplies
Model L Table or Wall-Mount Pencil Sharpener;27/05/2011;48;836,59;Office Supplies
Newell 326;27/05/2011;46;80,27;Office Supplies
Filing/Storage Totes and Swivel Casters;27/05/2011;20;211,42;Office Supplies
Avery 51;27/05/2011;18;126,62;Office Supplies
"Linden® 12"" Wall Clock With Oak Frame";27/05/2011;25;854,88;Furniture
Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk;28/05/2011;45;168,66;Office Supplies
Pizazz® Global Quick File;28/05/2011;14;225,47;Office Supplies
Bush Westfield Collection Bookcases, Fully Assembled;28/05/2011;6;647,78;Furniture
Xerox 1978;28/05/2011;36;209,53;Office Supplies
Avery 52;28/05/2011;41;172,15;Office Supplies
Avery 49;28/05/2011;5;14,76;Office Supplies
Xerox 196;28/05/2011;44;246,0;Office Supplies
Accessory9;30/05/2011;33;999,23;Technology
Newell 315;30/05/2011;50;281,81;Office Supplies
Ultra Commercial Grade Dual Valve Door Closer;30/05/2011;46;1815,49;Furniture
3M Polarizing Task Lamp with Clamp Arm, Light Gray;31/05/2011;7;1011,16;Furniture
Xerox 188;31/05/2011;32;381,24;Office Supplies
Anderson Hickey Conga Table Tops & Accessories;31/05/2011;3;73,44;Furniture
Microsoft Natural Keyboard Elite;31/05/2011;16;621,93;Technology
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";31/05/2011;26;437,77;Technology
Xerox 1881;31/05/2011;45;514,86;Office Supplies
Xerox 19;31/05/2011;12;356,27;Office Supplies
Space Solutions Commercial Steel Shelving;31/05/2011;32;1974,66;Office Supplies
Xerox 1923;31/05/2011;17;121,09;Office Supplies
Epson LQ-570e Dot Matrix Printer;01/06/2011;43;10854,83;Technology
Xerox 1936;01/06/2011;25;470,11;Office Supplies
Newell 343;01/06/2011;19;51,23;Office Supplies
Dot Matrix Printer Tape Reel Labels, White, 5000/Box;01/06/2011;25;2455,54;Office Supplies
Xerox 188;01/06/2011;11;123,34;Office Supplies
Ibico Presentation Index for Binding Systems;01/06/2011;50;212,12;Office Supplies
Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;01/06/2011;23;1642,47;Office Supplies
SC-3160;02/06/2011;13;772,27;Technology
Global High-Back Leather Tilter, Burgundy;02/06/2011;40;4842,21;Furniture
Xerox 220;02/06/2011;26;173,78;Office Supplies
Staples Pushpins;02/06/2011;22;41,18;Office Supplies
Holmes Harmony HEPA Air Purifier for 17 x 20 Room;03/06/2011;9;2007,24;Office Supplies
Brown Kraft Recycled Envelopes;03/06/2011;1;29,19;Office Supplies
DXL Angle-View Binders with Locking Rings, Black;03/06/2011;34;218,27;Office Supplies
Avery 498;03/06/2011;17;47,44;Office Supplies
Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case;03/06/2011;42;384,41;Technology
Advantus Push Pins, Aluminum Head;03/06/2011;17;100,95;Office Supplies
Lifetime Advantage Folding Chairs, 4/Carton;03/06/2011;19;3896,39;Furniture
Xerox 1977;03/06/2011;27;197,15;Office Supplies
Telescoping Adjustable Floor Lamp;04/06/2011;3;74,05;Furniture
VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine;05/06/2011;44;6862,24;Technology
Wirebound Message Book, 4 per Page;05/06/2011;48;269,93;Office Supplies
Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel;05/06/2011;15;333,3;Technology
Dual Level, Single-Width Filing Carts;05/06/2011;9;1394,28;Office Supplies
Sony MFD2HD Formatted Diskettes, 10/Pack;05/06/2011;46;303,62;Technology
Lumber Crayons;06/06/2011;21;190,99;Office Supplies
Nu-Dell Leatherette Frames;06/06/2011;8;120,22;Furniture
Boston 19500 Mighty Mite Electric Pencil Sharpener;06/06/2011;42;906,07;Office Supplies
Xerox 1993;06/06/2011;18;129,77;Office Supplies
"Executive Impressions 14"" Two-Color Numerals Wall Clock";07/06/2011;27;632,55;Furniture
Accessory6;07/06/2011;41;1779,89;Technology
Colored Push Pins;07/06/2011;48;90,96;Office Supplies
Premium Writing Pencils, Soft, #2 by Central Association for the Blind;07/06/2011;5;20,28;Office Supplies
"Howard Miller 16"" Diameter Gallery Wall Clock";07/06/2011;32;1997,13;Furniture
Xerox 1971;07/06/2011;48;207,08;Office Supplies
Southworth 25% Cotton Linen-Finish Paper & Envelopes;07/06/2011;46;400,49;Office Supplies
Eldon Portable Mobile Manager;07/06/2011;8;234,28;Office Supplies
Kensington 4 Outlet MasterPiece® Compact Power Control Center;08/06/2011;24;1811,55;Office Supplies
Fellowes Bankers Box Stor/Drawer® Steel Plus;08/06/2011;5;159,5;Office Supplies
"""While you Were Out"" Message Book, One Form per Page";08/06/2011;13;49,08;Office Supplies
Computer Printout Paper with Letter-Trim Perforations;08/06/2011;45;854,14;Office Supplies
"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream";08/06/2011;36;236,19;Office Supplies
Memorex 4.7GB DVD+RW, 3/Pack;08/06/2011;48;1347,63;Technology
Acco® Hot Clips Clips to Go;09/06/2011;41;137,51;Office Supplies
Avery Poly Binder Pockets;09/06/2011;43;154,18;Office Supplies
Acme® Preferred Stainless Steel Scissors;09/06/2011;21;114,53;Office Supplies
3285;09/06/2011;44;7164,74;Technology
Dana Halogen Swing-Arm Architect Lamp;09/06/2011;6;254,76;Furniture
Dixon My First Ticonderoga Pencil, #2;09/06/2011;18;110,31;Office Supplies
Eldon Simplefile® Box Office®;10/06/2011;23;294,91;Office Supplies
Trav-L-File Heavy-Duty Shuttle II, Black;10/06/2011;27;1199,57;Office Supplies
Accessory2;10/06/2011;10;484,22;Technology
Hon Olson Stacker Stools;10/06/2011;9;1225,37;Furniture
Avery® Durable Slant Ring Binders With Label Holder;10/06/2011;39;158,97;Office Supplies
GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb;10/06/2011;39;616,5;Office Supplies
Newell 340;10/06/2011;49;138,96;Office Supplies
Fellowes Strictly Business® Drawer File, Letter/Legal Size;10/06/2011;43;6255,81;Office Supplies
Binder Posts;10/06/2011;41;236,68;Office Supplies
Tenex Personal Project File with Scoop Front Design, Black;10/06/2011;44;601,78;Office Supplies
Acme® Forged Steel Scissors with Black Enamel Handles;11/06/2011;26;238,34;Office Supplies
Global Leather Task Chair, Black;11/06/2011;8;775,74;Furniture
"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""";11/06/2011;7;43,29;Office Supplies
Xerox 1997;11/06/2011;20;137,97;Office Supplies
Memorex 4.7GB DVD+RW, 3/Pack;11/06/2011;22;646,07;Technology
"Pressboard Data Binder, Crimson, 12"" X 8 1/2""";11/06/2011;22;127,56;Office Supplies
DAX Solid Wood Frames;12/06/2011;13;126,68;Furniture
Eldon® Image Series Desk Accessories, Burgundy;12/06/2011;34;154,43;Furniture
GBC Plastic Binding Combs;12/06/2011;24;188,47;Office Supplies
Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black;12/06/2011;28;1971,56;Furniture
Avanti 4.4 Cu. Ft. Refrigerator;13/06/2011;44;7765,13;Office Supplies
SAFCO Arco Folding Chair;13/06/2011;12;3156,6;Furniture
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";13/06/2011;47;302,69;Office Supplies
Adesso Programmable 142-Key Keyboard;14/06/2011;14;2070,68;Technology
Staples® General Use 3-Ring Binders;14/06/2011;8;16,35;Office Supplies
Situations Contoured Folding Chairs, 4/Set;14/06/2011;9;742,84;Furniture
Fiskars® Softgrip Scissors;14/06/2011;31;348,92;Office Supplies
Canon PC1060 Personal Laser Copier;14/06/2011;3;2222,61;Technology
Xerox 1908;14/06/2011;15;764,13;Office Supplies
Presstex Flexible Ring Binders;14/06/2011;46;221,13;Office Supplies
Array® Memo Cubes;14/06/2011;1;10,48;Office Supplies
Prang Colored Pencils;15/06/2011;35;99,13;Office Supplies
Avery Reinforcements for Hole-Punch Pages;15/06/2011;21;49,23;Office Supplies
Self-Adhesive Removable Labels;16/06/2011;17;53,91;Office Supplies
"Adams ""While You Were Out"" Message Pads";16/06/2011;43;134,33;Office Supplies
Xerox 1949;16/06/2011;18;88,84;Office Supplies
Barrel Sharpener;16/06/2011;19;70,32;Office Supplies
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";16/06/2011;44;365,24;Office Supplies
White GlueTop Scratch Pads;16/06/2011;5;70,33;Office Supplies
Xerox 1881;16/06/2011;25;288,91;Office Supplies
Xerox 1997;17/06/2011;28;198,21;Office Supplies
Angle-D Binders with Locking Rings, Label Holders;17/06/2011;12;93,54;Office Supplies
SAFCO Mobile Desk Side File, Wire Frame;17/06/2011;22;905,08;Office Supplies
Bevis Boat-Shaped Conference Table;17/06/2011;6;1307,18;Furniture
Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum;17/06/2011;40;5264,48;Furniture
T60;17/06/2011;15;1297,3;Technology
Array® Parchment Paper, Assorted Colors;17/06/2011;20;148,65;Office Supplies
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";18/06/2011;31;283,17;Office Supplies
Prismacolor Color Pencil Set;18/06/2011;28;525,4;Office Supplies
Westinghouse Floor Lamp with Metal Mesh Shade, Black;18/06/2011;10;236,17;Furniture
Binder Clips by OIC;18/06/2011;37;61,77;Office Supplies
3390;19/06/2011;6;326,89;Technology
Ultra Door Pull Handle;19/06/2011;44;442,72;Furniture
Xerox 1904;19/06/2011;34;214,64;Office Supplies
"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream";19/06/2011;27;180,46;Office Supplies
Tyvek® Side-Opening Peel & Seel® Expanding Envelopes;20/06/2011;15;1390,49;Office Supplies
i470;20/06/2011;26;4688,95;Technology
Prang Drawing Pencil Set;20/06/2011;38;103,07;Office Supplies
Avery 501;20/06/2011;12;46,55;Office Supplies
8860;20/06/2011;15;896,18;Technology
Xerox 1977;21/06/2011;33;221,23;Office Supplies
Avery 487;21/06/2011;48;175,99;Office Supplies
DAX Metal Frame, Desktop, Stepped-Edge;21/06/2011;8;178,78;Furniture
Logitech Cordless Access Keyboard;21/06/2011;27;822,7;Technology
Nu-Dell Executive Frame;22/06/2011;2;28,98;Furniture
Space Solutions Commercial Steel Shelving;22/06/2011;8;567,51;Office Supplies
"Executive Impressions 12"" Wall Clock";22/06/2011;50;804,14;Furniture
Fellowes Staxonsteel® Drawer Files;22/06/2011;46;9261,24;Office Supplies
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;22/06/2011;16;4691,27;Office Supplies
CF 888;22/06/2011;12;2011,64;Technology
GBC Poly Designer Binding Covers;22/06/2011;32;546,01;Office Supplies
Tenex Personal Self-Stacking Standard File Box, Black/Gray;22/06/2011;29;482,91;Office Supplies
CF 688;22/06/2011;23;2969,64;Technology
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement";22/06/2011;23;524,25;Furniture
Boston Electric Pencil Sharpener, Model 1818, Charcoal Black;22/06/2011;15;417,88;Office Supplies
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";22/06/2011;2;224,32;Furniture
Boston 16801 Nautilus Battery Pencil Sharpener;22/06/2011;15;311,98;Office Supplies
Hon Pagoda Stacking Chairs;22/06/2011;24;7547,14;Furniture
Boston 16701 Slimline Battery Pencil Sharpener;23/06/2011;24;376,53;Office Supplies
Xerox 231;23/06/2011;27;172,7;Office Supplies
80 Minute CD-R Spindle, 100/Pack - Staples;23/06/2011;28;1082,45;Technology
Keytronic French Keyboard;23/06/2011;10;767,34;Technology
Logitech Cordless Navigator Duo;23/06/2011;22;1683,57;Technology
Global Stack Chair without Arms, Black;24/06/2011;5;131,27;Furniture
Canon PC940 Copier;24/06/2011;29;13571,7;Technology
Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;24/06/2011;46;1662,5;Office Supplies
Xerox Blank Computer Paper;24/06/2011;44;839,7;Office Supplies
Catalog Binders with Expanding Posts;25/06/2011;47;2926,33;Office Supplies
7160;25/06/2011;13;1506,84;Technology
Economy Binders;25/06/2011;20;40,05;Office Supplies
Micro Innovations Micro 3000 Keyboard, Black;25/06/2011;20;552,87;Technology
Regeneration Desk Collection;25/06/2011;12;26,33;Furniture
Accessory6;26/06/2011;16;772,41;Technology
Office Star Flex Back Scooter Chair with Aluminum Finish Frame;26/06/2011;10;1025,88;Furniture
US Robotics 56K V.92 Internal PCI Faxmodem;27/06/2011;17;877,81;Technology
Belkin 8 Outlet SurgeMaster II Gold Surge Protector;27/06/2011;26;1463,42;Office Supplies
Keytronic French Keyboard;27/06/2011;33;2492,97;Technology
Acco® Hot Clips Clips to Go;28/06/2011;36;123,13;Office Supplies
Microsoft Natural Keyboard Elite;28/06/2011;15;627,69;Technology
Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost;28/06/2011;15;229,03;Office Supplies
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf";28/06/2011;48;4644,87;Furniture
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms;28/06/2011;9;1425,21;Furniture
Carina Double Wide Media Storage Towers in Natural & Black;28/06/2011;39;3063,1;Office Supplies
Iceberg Mobile Mega Data/Printer Cart ®;29/06/2011;50;6206,16;Office Supplies
Wilson Jones Snap Scratch Pad Binder Tool for Ring Binders;29/06/2011;1;11,08;Office Supplies
Accessory27;29/06/2011;10;324,32;Technology
Newell 342;29/06/2011;17;57,96;Office Supplies
Unpadded Memo Slips;29/06/2011;16;61,5;Office Supplies
Xerox 1952;29/06/2011;27;135,86;Office Supplies
StarTAC ST7762;30/06/2011;34;3375,31;Technology
Avery Printable Repositionable Plastic Tabs;30/06/2011;15;140,07;Office Supplies
SAFCO Commercial Wire Shelving, Black;30/06/2011;21;2954,14;Office Supplies
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book";30/06/2011;14;135,21;Office Supplies
Peel-Off® China Markers;30/06/2011;43;449,17;Office Supplies
Quartet Alpha® White Chalk, 12/Pack;30/06/2011;38;79,81;Office Supplies
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms;01/07/2011;11;2020,58;Furniture
Bretford CR8500 Series Meeting Room Furniture;01/07/2011;20;5989,05;Furniture
Xerox 1905;01/07/2011;34;225,45;Office Supplies
80 Minute CD-R Spindle, 100/Pack - Staples;01/07/2011;38;1559,5;Technology
Xerox 1937;01/07/2011;30;1533,46;Office Supplies
Bush Mission Pointe Library;02/07/2011;14;2085,93;Furniture
Acme® Forged Steel Scissors with Black Enamel Handles;02/07/2011;30;288,45;Office Supplies
Acco 3-Hole Punch;02/07/2011;24;109,23;Office Supplies
Lexmark 4227 Plus Dot Matrix Printer;02/07/2011;4;8467,68;Technology
Revere Boxed Rubber Bands by Revere;02/07/2011;39;74,0;Office Supplies
Fellowes Recycled Storage Drawers;02/07/2011;8;876,01;Office Supplies
Xerox 1984;02/07/2011;20;129,27;Office Supplies
Hewlett Packard LaserJet 3310 Copier;03/07/2011;46;27720,98;Technology
Logitech Access Keyboard;03/07/2011;7;127,74;Technology
Xerox 1887;03/07/2011;29;520,13;Office Supplies
Prang Colored Pencils;03/07/2011;39;113,09;Office Supplies
Stockwell Push Pins;03/07/2011;5;15,6;Office Supplies
M3682;03/07/2011;6;631,5;Technology
Vinyl Sectional Post Binders;03/07/2011;40;1477,39;Office Supplies
Xerox 1966;03/07/2011;45;296,82;Office Supplies
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";03/07/2011;47;5051,89;Furniture
DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7;03/07/2011;33;325,92;Furniture
"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack";04/07/2011;39;315,88;Technology
Bevis Round Conference Table Top & Single Column Base;04/07/2011;6;965,69;Furniture
M70;04/07/2011;20;2162,82;Technology
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue";04/07/2011;18;99,36;Office Supplies
Eldon® Expressions Wood and Plastic Desk Accessories, Oak;04/07/2011;49;510,15;Furniture
"Seth Thomas 14"" Putty-Colored Wall Clock";04/07/2011;27;735,09;Furniture
Logitech Internet Navigator Keyboard;04/07/2011;8;258,11;Technology
DAX Value U-Channel Document Frames, Easel Back;04/07/2011;39;197,56;Furniture
Eureka Hand Vacuum, Bagless;05/07/2011;50;2510,71;Office Supplies
Xerox 1923;05/07/2011;44;286,06;Office Supplies
Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black;05/07/2011;47;14588,28;Office Supplies
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting;05/07/2011;27;2675,08;Furniture
Bretford CR8500 Series Meeting Room Furniture;05/07/2011;6;17,43;Furniture
Xerox 193;05/07/2011;7;55,68;Office Supplies
Newell 315;05/07/2011;41;248,1;Office Supplies
Xerox 1949;06/07/2011;1;9,69;Office Supplies
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;06/07/2011;12;515,65;Office Supplies
"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book";06/07/2011;31;286,26;Office Supplies
Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers;06/07/2011;38;29186,49;Technology
SANFORD Major Accent Highlighters;06/07/2011;48;331,99;Office Supplies
Accessory32;07/07/2011;23;1028,16;Technology
Binder Posts;07/07/2011;32;197,49;Office Supplies
Trimflex Flexible Post Binders;07/07/2011;21;423,24;Office Supplies
Staples 6 Outlet Surge;07/07/2011;4;49,86;Office Supplies
Okidata Pacemark 4410N Wide Format Dot Matrix Printer;07/07/2011;3;9172,32;Technology
Iris Project Case;08/07/2011;17;135,38;Office Supplies
Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl;08/07/2011;7;59,38;Office Supplies
IBM 80 Minute CD-R Spindle, 50/Pack;10/07/2011;37;744,0;Technology
Accessory31;10/07/2011;12;388,87;Technology
Canon PC-428 Personal Copier;10/07/2011;33;5964,19;Technology
R380;10/07/2011;30;4965,76;Technology
Quartet Omega® Colored Chalk, 12/Pack;10/07/2011;12;64,77;Office Supplies
Xerox 210;10/07/2011;15;109,2;Office Supplies
GBC White Gloss Covers, Plain Front;10/07/2011;24;344,25;Office Supplies
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms;10/07/2011;33;5661,08;Furniture
Lock-Up Easel 'Spel-Binder';11/07/2011;14;403,17;Office Supplies
Boston 16801 Nautilus Battery Pencil Sharpener;12/07/2011;14;322,61;Office Supplies
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";12/07/2011;9;75,28;Office Supplies
Premium Writing Pencils, Soft, #2 by Central Association for the Blind;12/07/2011;34;102,34;Office Supplies
Xerox 209;12/07/2011;23;149,31;Office Supplies
Xerox 1880;12/07/2011;11;391,9;Office Supplies
Master Giant Foot® Doorstop, Safety Yellow;12/07/2011;38;275,11;Furniture
Avery 508;12/07/2011;5;24,3;Office Supplies
Avery 501;12/07/2011;32;115,81;Office Supplies
Xerox 194;12/07/2011;26;1451,59;Office Supplies
"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";12/07/2011;30;139,08;Technology
Self-Adhesive Ring Binder Labels;13/07/2011;38;137,07;Office Supplies
Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box;13/07/2011;23;1314,64;Office Supplies
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book";13/07/2011;28;203,99;Office Supplies
Avery 51;13/07/2011;36;220,45;Office Supplies
Newell 336;13/07/2011;31;123,93;Office Supplies
Eldon Regeneration Recycled Desk Accessories, Smoke;14/07/2011;22;46,36;Furniture
6190;14/07/2011;7;384,2;Technology
Micro Innovations Micro 3000 Keyboard, Black;14/07/2011;35;926,65;Technology
Lexmark Z54se Color Inkjet Printer;14/07/2011;9;799,98;Technology
Logitech Access Keyboard;14/07/2011;6;92,02;Technology
Hon 61000 Series Interactive Training Tables;14/07/2011;7;363,57;Furniture
Fellowes Recycled Storage Drawers;15/07/2011;48;5318,89;Office Supplies
Bell Sonecor JB700 Caller ID;15/07/2011;23;160,23;Technology
KI Conference Tables;15/07/2011;24;1761,4;Furniture
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";15/07/2011;26;2808,08;Furniture
Panasonic KX-P1150 Dot Matrix Printer;15/07/2011;30;4147,47;Technology
Acco Six-Outlet Power Strip, 4' Cord Length;15/07/2011;8;84,64;Office Supplies
Imation 3.5 IBM Diskettes, 10/Box;15/07/2011;15;140,56;Technology
Avery White Multi-Purpose Labels;15/07/2011;6;28,01;Office Supplies
Canon P1-DHIII Palm Printing Calculator;15/07/2011;9;163,78;Technology
24 Capacity Maxi Data Binder Racks, Pearl;16/07/2011;2;423,04;Office Supplies
Timeport L7089;16/07/2011;20;2197,41;Technology
DAX Value U-Channel Document Frames, Easel Back;16/07/2011;47;255,65;Furniture
Crayola Anti Dust Chalk, 12/Pack;16/07/2011;42;71,32;Office Supplies
Sanford 52201 APSCO Electric Pencil Sharpener;16/07/2011;28;1165,33;Office Supplies
Sensible Storage WireTech Storage Systems;17/07/2011;6;460,71;Office Supplies
Avery 487;18/07/2011;39;141,49;Office Supplies
Xerox 1907;18/07/2011;39;497,52;Office Supplies
Avery 507;18/07/2011;3;8,6;Office Supplies
Airmail Envelopes;18/07/2011;3;279,33;Office Supplies
StarTAC 7760;18/07/2011;39;2192,44;Technology
T39m;18/07/2011;39;4799,79;Technology
Xerox 216;18/07/2011;31;211,55;Office Supplies
Sauder Camden County Barrister Bookcase, Planked Cherry Finish;18/07/2011;38;4650,07;Furniture
Bevis Steel Folding Chairs;19/07/2011;39;3554,46;Furniture
Deflect-o EconoMat Nonstudded, No Bevel Mat;19/07/2011;9;520,49;Furniture
Eldon® Expressions Wood Desk Accessories, Oak;19/07/2011;45;356,7;Furniture
"Acme® 8"" Straight Scissors";19/07/2011;42;569,32;Office Supplies
Avery 481;20/07/2011;6;20,19;Office Supplies
Bush Mission Pointe Library;21/07/2011;29;4203,88;Furniture
Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;21/07/2011;17;117,33;Office Supplies
Avery 501;21/07/2011;36;132,86;Office Supplies
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;21/07/2011;10;2700,41;Office Supplies
Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;21/07/2011;36;18028,07;Technology
Ibico Covers for Plastic or Wire Binding Elements;21/07/2011;1;18,92;Office Supplies
Multicolor Computer Printout Paper;22/07/2011;6;642,42;Office Supplies
Staples Copy Paper (20Lb. and 84 Bright);22/07/2011;46;231,35;Office Supplies
Microsoft Internet Keyboard;22/07/2011;43;866,73;Technology
600 Series Flip;22/07/2011;26;2169,75;Technology
O'Sullivan Elevations Bookcase, Cherry Finish;22/07/2011;25;3308,28;Furniture
Peel-Off® China Markers;22/07/2011;19;193,25;Office Supplies
Xerox 1895;23/07/2011;41;254,69;Office Supplies
Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus;23/07/2011;42;1763,6;Technology
Fellowes Internet Keyboard, Platinum;23/07/2011;22;649,71;Technology
Maxell Pro 80 Minute CD-R, 10/Pack;23/07/2011;3;58,63;Technology
Eldon Shelf Savers Cubes and Bins;23/07/2011;13;94,99;Office Supplies
3M Organizer Strips;23/07/2011;14;84,09;Office Supplies
Belkin 6 Outlet Metallic Surge Strip;23/07/2011;50;514,86;Office Supplies
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;23/07/2011;12;3671,3;Office Supplies
Master Caster Door Stop, Brown;24/07/2011;26;132,23;Furniture
Fellowes Superior 10 Outlet Split Surge Protector;24/07/2011;16;597,44;Office Supplies
StarTAC ST7762;24/07/2011;48;5138,34;Technology
BASF Silver 74 Minute CD-R;24/07/2011;44;73,64;Technology
5170i;24/07/2011;22;2403,14;Technology
Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;25/07/2011;41;1408,34;Office Supplies
Memorex 4.7GB DVD+RW, 3/Pack;25/07/2011;42;1244,01;Technology
"Executive Impressions 14"" Contract Wall Clock";25/07/2011;42;981,73;Furniture
Hot File® 7-Pocket, Floor Stand;25/07/2011;1;182,4;Office Supplies
Eldon® Image Series Desk Accessories, Burgundy;25/07/2011;20;97,65;Furniture
U.S. Robotics 56K Internet Call Modem;25/07/2011;29;2896,14;Technology
Xerox 212;25/07/2011;44;302,07;Office Supplies
Logitech Cordless Elite Duo;25/07/2011;9;883,37;Technology
Gyration Ultra Professional Cordless Optical Suite;25/07/2011;20;6004,35;Technology
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";25/07/2011;15;113,5;Office Supplies
Belkin 6 Outlet Metallic Surge Strip;26/07/2011;3;36,06;Office Supplies
Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum;26/07/2011;32;1785,02;Technology
Belkin F9M820V08 8 Outlet Surge;26/07/2011;43;1849,8;Office Supplies
Lexmark Z54se Color Inkjet Printer;27/07/2011;13;1207,02;Technology
Avery 48;27/07/2011;40;254,02;Office Supplies
Master Giant Foot® Doorstop, Safety Yellow;27/07/2011;47;363,23;Furniture
Global Leather Task Chair, Black;27/07/2011;13;1193,62;Furniture
Newell 335;27/07/2011;37;111,39;Office Supplies
Canon S750 Color Inkjet Printer;27/07/2011;46;5615,4;Technology
Deflect-O® Glasstique Clear Desk Accessories;27/07/2011;35;269,35;Furniture
SAFCO Commercial Wire Shelving, Black;27/07/2011;14;1885,41;Office Supplies
Avery 508;27/07/2011;20;92,15;Office Supplies
"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""";27/07/2011;16;41,52;Office Supplies
Imation Printable White 80 Minute CD-R Spindle, 50/Pack;28/07/2011;40;1699,52;Technology
Eldon® Gobal File Keepers;28/07/2011;50;760,85;Office Supplies
Global High-Back Leather Tilter, Burgundy;28/07/2011;4;559,75;Furniture
"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";28/07/2011;44;221,42;Technology
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets";29/07/2011;13;589,78;Office Supplies
*Staples* Highlighting Markers;29/07/2011;31;143,85;Office Supplies
Logitech Cordless Elite Duo;29/07/2011;44;4326,27;Technology
Panasonic KX-P1131 Dot Matrix Printer;30/07/2011;41;10071,09;Technology
