Produto;EstoqueAtual;CustoUnitario;Fornecedor;Filial
PC000979;64;393,75;Fornecedor Beta;Loja Centro
PC000980;92;380,13;Fornecedor Delta;Loja Centro
PC000981;138;90,26;Fornecedor Beta;Loja Centro
PC000982;28;362,77;Fornecedor Gamma;Loja Centro
PC000983;55;210,52;Fornecedor Alfa;Loja Centro
PC000984;28;221,47;Fornecedor Beta;Loja Centro
PC000985;22;67,0;Fornecedor Delta;Loja Centro
PC000986;19;43,63;Fornecedor Gamma;Loja Centro
PC000987;43;329,75;Fornecedor Gamma;Loja Centro
PC000988;66;227,44;Fornecedor Gamma;Loja Centro
PC000989;9;201,09;Fornecedor Gamma;Loja Centro
PC000990;60;330,44;Fornecedor Delta;Loja Centro
PC000991;29;346,36;Fornecedor Alfa;Loja Centro
PC000992;11;78,24;Fornecedor Gamma;Loja Centro
PC000993;10;277,72;Fornecedor Beta;Loja Centro
PC000994;70;67,83;Fornecedor Alfa;Loja Centro
PC000995;14;340,11;Fornecedor Gamma;Loja Centro
PC000996;27;298,37;Fornecedor Alfa;Loja Centro
PC000997;2;430,82;Fornecedor Beta;Loja Centro
PC000998;31;38,48;Fornecedor Gamma;Loja Centro
PC000999;16;33,22;Fornecedor Beta;Loja Centro
PC001000;43;132,73;Fornecedor Delta;Loja Centro
PC000001;38;89,83;Fornecedor Delta;Loja Norte
PC000002;13;247,52;Fornecedor Gamma;Loja Norte
PC000003;85;393,84;Fornecedor Gamma;Loja Norte
PC000004;10;331,64;Fornecedor Gamma;Loja Norte
PC000005;59;364,5;Fornecedor Delta;Loja Norte
PC000006;33;299,18;Fornecedor Beta;Loja Norte
PC000007;8;313,99;Fornecedor Delta;Loja Norte
PC000008;27;383,34;Fornecedor Beta;Loja Norte
PC000009;11;118,35;Fornecedor Delta;Loja Norte
PC000010;5;224,33;Fornecedor Delta;Loja Norte
PC000011;66;105,77;Fornecedor Beta;Loja Norte
PC000012;23;444,55;Fornecedor Gamma;Loja Norte
PC000013;59;425,27;Fornecedor Beta;Loja Norte
PC000014;48;25,43;Fornecedor Alfa;Loja Norte
PC000015;41;319,86;Fornecedor Alfa;Loja Norte
PC000016;42;416,96;Fornecedor Beta;Loja Norte
PC000017;41;87,81;Fornecedor Delta;Loja Norte
PC000018;32;259,03;Fornecedor Alfa;Loja Norte
PC000019;29;412,65;Fornecedor Alfa;Loja Norte
PC000020;17;23,0;Fornecedor Delta;Loja Norte
PC000021;43;316,26;Fornecedor Delta;Loja Norte
PC000022;55;139,43;Fornecedor Gamma;Loja Norte
PC000023;39;416,58;Fornecedor Delta;Loja Norte
PC000024;64;437,21;Fornecedor Beta;Loja Norte
PC000025;15;425,37;Fornecedor Beta;Loja Norte
PC000026;20;217,6;Fornecedor Gamma;Loja Norte
PC000027;21;389,02;Fornecedor Alfa;Loja Norte
PC000028;21;381,29;Fornecedor Alfa;Loja Norte
PC000029;15;149,04;Fornecedor Delta;Loja Norte
PC000030;14;374,38;Fornecedor Beta;Loja Norte
PC000031;49;24,36;Fornecedor Alfa;Loja Norte
PC000032;29;271,55;Fornecedor Gamma;Loja Norte
PC000033;17;109,66;Fornecedor Gamma;Loja Norte
PC000034;48;61,29;Fornecedor Beta;Loja Norte
PC000035;25;42,01;Fornecedor Gamma;Loja Norte
PC000036;121;315,76;Fornecedor Gamma;Loja Norte
PC000037;15;158,22;Fornecedor Beta;Loja Norte
PC000038;5;328,35;Fornecedor Delta;Loja Norte
PC000039;22;36,89;Fornecedor Delta;Loja Norte
PC000040;75;147,36;Fornecedor Gamma;Loja Norte
PC000041;10;246,46;Fornecedor Delta;Loja Norte
PC000042;57;357,5;Fornecedor Delta;Loja Norte
PC000043;27;148,89;Fornecedor Gamma;Loja Norte
PC000044;69;284,64;Fornecedor Delta;Loja Norte
PC000045;7;399,6;Fornecedor Gamma;Loja Norte
PC000046;38;280,21;Fornecedor Alfa;Loja Norte
PC000047;71;110,97;Fornecedor Beta;Loja Norte
PC000048;50;18,79;Fornecedor Beta;Loja Norte
PC000049;67;392,58;Fornecedor Delta;Loja Norte
PC000050;23;17,4;Fornecedor Delta;Loja Norte
PC000051;5;394,62;Fornecedor Delta;Loja Norte
PC000052;11;241,79;Fornecedor Beta;Loja Norte
PC000053;13;423,07;Fornecedor Alfa;Loja Norte
PC000054;95;361,06;Fornecedor Alfa;Loja Norte
PC000055;17;449,09;Fornecedor Beta;Loja Norte
PC000056;7;163,01;Fornecedor Alfa;Loja Norte
PC000057;47;347,1;Fornecedor Beta;Loja Norte
PC000058;26;185,65;Fornecedor Alfa;Loja Norte
PC000059;85;220,11;Fornecedor Gamma;Loja Norte
PC000060;6;285,36;Fornecedor Gamma;Loja Norte
PC000061;31;394,17;Fornecedor Beta;Loja Norte
PC000062;6;442,96;Fornecedor Alfa;Loja Norte
PC000063;148;347,58;Fornecedor Delta;Loja Norte
PC000064;48;192,65;Fornecedor Alfa;Loja Norte
PC000065;64;194,24;Fornecedor Gamma;Loja Norte
PC000066;34;334,01;Fornecedor Gamma;Loja Norte
PC000067;39;113,54;Fornecedor Alfa;Loja Norte
PC000068;18;56,83;Fornecedor Alfa;Loja Norte
PC000069;7;164,74;Fornecedor Delta;Loja Norte
PC000070;68;134,96;Fornecedor Delta;Loja Norte
PC000071;11;138,97;Fornecedor Alfa;Loja Norte
PC000072;68;111,25;Fornecedor Alfa;Loja Norte
PC000073;29;26,61;Fornecedor Alfa;Loja Norte
PC000074;13;15,9;Fornecedor Alfa;Loja Norte
PC000075;29;444,57;Fornecedor Beta;Loja Norte
PC000076;47;197,08;Fornecedor Alfa;Loja Norte
PC000077;23;177,87;Fornecedor Delta;Loja Norte
PC000078;43;308,4;Fornecedor Gamma;Loja Norte
PC000079;15;104,47;Fornecedor Beta;Loja Norte
PC000080;17;427,88;Fornecedor Alfa;Loja Norte
PC000081;19;355,56;Fornecedor Gamma;Loja Norte
PC000082;43;47,52;Fornecedor Beta;Loja Norte
PC000083;40;192,57;Fornecedor Gamma;Loja Norte
PC000084;17;396,57;Fornecedor Alfa;Loja Norte
PC000085;76;425,57;Fornecedor Alfa;Loja Norte
PC000086;90;214,59;Fornecedor Delta;Loja Norte
PC000087;5;279,13;Fornecedor Alfa;Loja Norte
PC000088;30;81,83;Fornecedor Alfa;Loja Norte
PC000089;18;446,1;Fornecedor Beta;Loja Norte
PC000090;33;110,4;Fornecedor Delta;Loja Norte
PC000091;15;424,69;Fornecedor Beta;Loja Norte
PC000092;56;295,14;Fornecedor Gamma;Loja Norte
PC000093;93;276,62;Fornecedor Alfa;Loja Norte
PC000094;39;234,61;Fornecedor Gamma;Loja Norte
PC000095;20;109,96;Fornecedor Beta;Loja Norte
PC000096;47;86,03;Fornecedor Alfa;Loja Norte
PC000097;29;105,45;Fornecedor Alfa;Loja Norte
PC000098;39;90,41;Fornecedor Beta;Loja Norte
PC000099;16;352,58;Fornecedor Beta;Loja Norte
PC000100;11;162,76;Fornecedor Beta;Loja Norte
PC000101;23;33,57;Fornecedor Beta;Loja Norte
PC000102;53;436,34;Fornecedor Beta;Loja Norte
PC000103;51;398,63;Fornecedor Alfa;Loja Norte
PC000104;68;418,07;Fornecedor Beta;Loja Norte
PC000105;24;447,75;Fornecedor Alfa;Loja Norte
PC000106;58;84,86;Fornecedor Alfa;Loja Norte
PC000107;75;183,14;Fornecedor Beta;Loja Norte
PC000108;6;343,14;Fornecedor Beta;Loja Norte
PC000109;22;315,64;Fornecedor Delta;Loja Norte
PC000110;35;76,02;Fornecedor Alfa;Loja Norte
PC000111;36;368,6;Fornecedor Beta;Loja Norte
PC000112;21;107,2;Fornecedor Beta;Loja Norte
PC000113;17;106,93;Fornecedor Beta;Loja Norte
PC000114;41;245,34;Fornecedor Delta;Loja Norte
PC000115;73;270,08;Fornecedor Delta;Loja Norte
PC000116;76;264,4;Fornecedor Gamma;Loja Norte
PC000117;52;48,44;Fornecedor Alfa;Loja Norte
PC000118;46;395,84;Fornecedor Gamma;Loja Norte
PC000119;26;125,4;Fornecedor Beta;Loja Norte
PC000120;71;65,25;Fornecedor Delta;Loja Norte
PC000121;32;400,83;Fornecedor Delta;Loja Norte
PC000122;22;430,4;Fornecedor Gamma;Loja Norte
PC000123;64;389,06;Fornecedor Delta;Loja Norte
PC000124;55;365,81;Fornecedor Beta;Loja Norte
PC000125;58;297,62;Fornecedor Delta;Loja Norte
PC000126;47;251,48;Fornecedor Gamma;Loja Norte
PC000127;74;46,45;Fornecedor Beta;Loja Norte
PC000128;60;188,54;Fornecedor Gamma;Loja Norte
PC000129;42;172,73;Fornecedor Delta;Loja Norte
PC000130;43;122,81;Fornecedor Gamma;Loja Norte
PC000131;57;327,75;Fornecedor Gamma;Loja Norte
PC000132;19;227,18;Fornecedor Alfa;Loja Norte
PC000133;39;43,82;Fornecedor Delta;Loja Norte
PC000134;36;105,32;Fornecedor Delta;Loja Norte
PC000135;33;310,0;Fornecedor Gamma;Loja Norte
PC000136;32;41,65;Fornecedor Alfa;Loja Norte
PC000137;29;384,23;Fornecedor Delta;Loja Norte
PC000138;35;226,85;Fornecedor Beta;Loja Norte
PC000139;151;220,42;Fornecedor Gamma;Loja Norte
PC000140;17;269,84;Fornecedor Delta;Loja Norte
PC000141;11;372,51;Fornecedor Beta;Loja Norte
PC000142;66;161,73;Fornecedor Delta;Loja Norte
PC000143;64;307,68;Fornecedor Beta;Loja Norte
PC000144;37;258,05;Fornecedor Gamma;Loja Norte
PC000145;16;126,03;Fornecedor Delta;Loja Norte
PC000146;65;396,35;Fornecedor Delta;Loja Norte
PC000147;11;360,46;Fornecedor Alfa;Loja Norte
PC000148;16;299,04;Fornecedor Gamma;Loja Norte
PC000149;24;383,96;Fornecedor Beta;Loja Norte
PC000150;51;391,34;Fornecedor Delta;Loja Norte
PC000151;47;321,1;Fornecedor Delta;Loja Norte
PC000152;95;377,96;Fornecedor Beta;Loja Norte
PC000153;36;316,28;Fornecedor Gamma;Loja Norte
PC000154;65;308,62;Fornecedor Alfa;Loja Norte
PC000155;46;281,43;Fornecedor Alfa;Loja Norte
PC000156;8;340,7;Fornecedor Delta;Loja Norte
PC000157;49;78,1;Fornecedor Beta;Loja Norte
PC000158;65;397,34;Fornecedor Delta;Loja Norte
PC000159;46;393,35;Fornecedor Beta;Loja Norte
PC000160;25;20,93;Fornecedor Alfa;Loja Norte
PC000161;11;373,01;Fornecedor Gamma;Loja Norte
PC000162;18;64,96;Fornecedor Beta;Loja Norte
PC000163;4;156,12;Fornecedor Alfa;Loja Norte
PC000164;30;336,63;Fornecedor Delta;Loja Norte
PC000165;61;79,06;Fornecedor Beta;Loja Norte
PC000166;19;369,54;Fornecedor Gamma;Loja Norte
PC000167;28;375,8;Fornecedor Delta;Loja Norte
PC000168;48;232,3;Fornecedor Delta;Loja Norte
PC000169;45;10,82;Fornecedor Alfa;Loja Norte
PC000170;26;134,87;Fornecedor Beta;Loja Norte
PC000171;26;280,68;Fornecedor Delta;Loja Norte
PC000172;27;441,68;Fornecedor Gamma;Loja Norte
PC000173;49;287,26;Fornecedor Beta;Loja Norte
PC000174;125;122,83;Fornecedor Gamma;Loja Norte
PC000175;14;288,23;Fornecedor Delta;Loja Norte
PC000176;66;246,67;Fornecedor Gamma;Loja Norte
PC000177;15;352,69;Fornecedor Alfa;Loja Norte
PC000178;108;55,29;Fornecedor Gamma;Loja Norte
PC000179;10;344,37;Fornecedor Beta;Loja Norte
PC000180;27;247,24;Fornecedor Gamma;Loja Norte
PC000181;54;433,64;Fornecedor Gamma;Loja Norte
PC000182;76;159,11;Fornecedor Alfa;Loja Norte
PC000183;77;287,62;Fornecedor Gamma;Loja Norte
PC000184;114;419,96;Fornecedor Gamma;Loja Norte
PC000185;48;53,31;Fornecedor Delta;Loja Norte
PC000186;3;422,25;Fornecedor Delta;Loja Norte
PC000187;28;312,05;Fornecedor Beta;Loja Norte
PC000188;19;37,98;Fornecedor Delta;Loja Norte
PC000189;51;141,03;Fornecedor Delta;Loja Norte
PC000190;47;321,01;Fornecedor Delta;Loja Norte
PC000191;46;37,77;Fornecedor Delta;Loja Norte
PC000192;18;265,32;Fornecedor Alfa;Loja Norte
PC000193;22;160,88;Fornecedor Delta;Loja Norte
PC000194;39;282,44;Fornecedor Alfa;Loja Norte
PC000195;33;28,22;Fornecedor Alfa;Loja Norte
PC000196;38;393,22;Fornecedor Delta;Loja Norte
PC000197;34;438,28;Fornecedor Gamma;Loja Norte
PC000198;38;436,24;Fornecedor Alfa;Loja Norte
PC000199;94;339,35;Fornecedor Gamma;Loja Norte
PC000200;22;65,5;Fornecedor Gamma;Loja Norte
PC000201;72;343,15;Fornecedor Delta;Loja Norte
PC000202;14;18,87;Fornecedor Beta;Loja Norte
PC000203;8;17,78;Fornecedor Delta;Loja Norte
PC000204;72;151,04;Fornecedor Beta;Loja Norte
PC000205;10;223,98;Fornecedor Beta;Loja Norte
PC000206;25;348,52;Fornecedor Delta;Loja Norte
PC000207;18;310,02;Fornecedor Delta;Loja Norte
PC000208;25;205,09;Fornecedor Beta;Loja Norte
PC000209;39;128,94;Fornecedor Delta;Loja Norte
PC000210;30;448,73;Fornecedor Beta;Loja Norte
PC000211;54;196,37;Fornecedor Gamma;Loja Norte
PC000212;38;207,51;Fornecedor Delta;Loja Norte
PC000213;14;80,32;Fornecedor Gamma;Loja Norte
PC000214;30;359,31;Fornecedor Alfa;Loja Norte
PC000215;49;314,61;Fornecedor Gamma;Loja Norte
PC000216;103;105,58;Fornecedor Gamma;Loja Norte
PC000217;48;44,41;Fornecedor Beta;Loja Norte
PC000218;44;308,78;Fornecedor Gamma;Loja Norte
PC000219;24;297,29;Fornecedor Delta;Loja Norte
PC000220;72;128,78;Fornecedor Beta;Loja Norte
PC000221;34;428,28;Fornecedor Alfa;Loja Norte
PC000222;17;74,77;Fornecedor Delta;Loja Norte
PC000223;16;199,09;Fornecedor Alfa;Loja Norte
PC000224;10;425,08;Fornecedor Gamma;Loja Norte
PC000225;7;193,52;Fornecedor Delta;Loja Norte
PC000226;66;290,23;Fornecedor Delta;Loja Norte
PC000227;10;183,74;Fornecedor Alfa;Loja Norte
PC000228;10;129,2;Fornecedor Delta;Loja Norte
PC000229;10;442,92;Fornecedor Delta;Loja Norte
PC000230;22;188,93;Fornecedor Delta;Loja Norte
PC000231;7;403,19;Fornecedor Gamma;Loja Norte
PC000232;38;109,64;Fornecedor Alfa;Loja Norte
PC000233;38;102,19;Fornecedor Delta;Loja Norte
PC000234;119;21,76;Fornecedor Beta;Loja Norte
PC000235;39;296,04;Fornecedor Beta;Loja Norte
PC000236;32;170,89;Fornecedor Beta;Loja Norte
PC000237;91;390,05;Fornecedor Beta;Loja Norte
PC000238;74;217,16;Fornecedor Gamma;Loja Norte
PC000239;29;435,94;Fornecedor Delta;Loja Norte
PC000240;34;90,0;Fornecedor Alfa;Loja Norte
PC000241;90;391,93;Fornecedor Delta;Loja Norte
PC000242;37;351,26;Fornecedor Gamma;Loja Norte
PC000243;3;348,75;Fornecedor Beta;Loja Norte
PC000244;42;381,39;Fornecedor Gamma;Loja Norte
PC000245;40;344,37;Fornecedor Delta;Loja Norte
PC000246;25;284,79;Fornecedor Alfa;Loja Norte
PC000247;36;66,01;Fornecedor Gamma;Loja Norte
PC000248;74;22,38;Fornecedor Alfa;Loja Norte
PC000249;11;415,01;Fornecedor Gamma;Loja Norte
PC000250;79;280,56;Fornecedor Alfa;Loja Norte
PC000251;19;360,07;Fornecedor Alfa;Loja Norte
PC000252;47;220,83;Fornecedor Beta;Loja Norte
PC000253;42;59,85;Fornecedor Alfa;Loja Norte
PC000254;15;63,33;Fornecedor Beta;Loja Norte
PC000255;40;311,02;Fornecedor Delta;Loja Norte
PC000256;42;198,2;Fornecedor Delta;Loja Norte
PC000257;72;96,63;Fornecedor Beta;Loja Norte
PC000258;18;225,28;Fornecedor Beta;Loja Norte
PC000259;34;36,38;Fornecedor Gamma;Loja Norte
PC000260;34;265,23;Fornecedor Gamma;Loja Norte
PC000261;22;126,9;Fornecedor Gamma;Loja Norte
PC000262;49;360,52;Fornecedor Delta;Loja Norte
PC000263;133;145,18;Fornecedor Gamma;Loja Norte
PC000264;64;209,21;Fornecedor Alfa;Loja Norte
PC000265;83;13,14;Fornecedor Alfa;Loja Norte
PC000266;104;40,02;Fornecedor Gamma;Loja Norte
PC000267;51;181,48;Fornecedor Alfa;Loja Norte
PC000268;61;220,13;Fornecedor Delta;Loja Norte
PC000269;26;273,21;Fornecedor Alfa;Loja Norte
PC000270;6;136,91;Fornecedor Delta;Loja Norte
PC000271;22;315,18;Fornecedor Beta;Loja Norte
PC000272;15;388,17;Fornecedor Beta;Loja Norte
PC000273;39;352,69;Fornecedor Beta;Loja Norte
PC000274;132;25,51;Fornecedor Beta;Loja Norte
PC000275;49;220,38;Fornecedor Alfa;Loja Norte
PC000276;42;54,38;Fornecedor Gamma;Loja Norte
PC000277;8;114,98;Fornecedor Alfa;Loja Norte
PC000278;28;444,1;Fornecedor Delta;Loja Norte
PC000279;46;70,98;Fornecedor Alfa;Loja Norte
PC000280;11;228,51;Fornecedor Alfa;Loja Norte
PC000281;52;281,22;Fornecedor Delta;Loja Norte
PC000282;36;318,49;Fornecedor Beta;Loja Norte
PC000283;33;255,36;Fornecedor Beta;Loja Norte
PC000284;50;12,32;Fornecedor Beta;Loja Norte
PC000285;39;152,3;Fornecedor Gamma;Loja Norte
PC000286;40;236,83;Fornecedor Delta;Loja Norte
PC000287;72;46,84;Fornecedor Delta;Loja Norte
PC000288;16;162,98;Fornecedor Alfa;Loja Norte
PC000289;38;22,68;Fornecedor Gamma;Loja Norte
PC000290;18;42,73;Fornecedor Beta;Loja Norte
PC000291;17;183,44;Fornecedor Gamma;Loja Norte
PC000292;16;66,66;Fornecedor Delta;Loja Norte
PC000293;4;258,85;Fornecedor Delta;Loja Norte
PC000294;40;312,74;Fornecedor Alfa;Loja Norte
PC000295;22;361,86;Fornecedor Alfa;Loja Norte
PC000296;61;96,47;Fornecedor Delta;Loja Norte
PC000297;28;82,03;Fornecedor Beta;Loja Norte
PC000298;19;54,22;Fornecedor Beta;Loja Norte
PC000299;41;289,3;Fornecedor Gamma;Loja Norte
PC000300;12;320,26;Fornecedor Delta;Loja Norte
PC000301;11;21,96;Fornecedor Delta;Loja Norte
PC000302;31;421,81;Fornecedor Beta;Loja Norte
PC000303;46;30,97;Fornecedor Beta;Loja Norte
PC000304;29;247,25;Fornecedor Delta;Loja Norte
PC000305;14;321,4;Fornecedor Alfa;Loja Norte
PC000306;19;392,97;Fornecedor Delta;Loja Norte
PC000307;38;323,63;Fornecedor Delta;Loja Norte
PC000308;45;362,36;Fornecedor Beta;Loja Norte
PC000309;5;158,04;Fornecedor Beta;Loja Norte
PC000310;60;368,15;Fornecedor Alfa;Loja Norte
PC000311;8;43,41;Fornecedor Alfa;Loja Norte
PC000312;29;403,51;Fornecedor Gamma;Loja Norte
PC000313;18;250,04;Fornecedor Delta;Loja Norte
PC000314;59;369,25;Fornecedor Beta;Loja Norte
PC000315;106;207,92;Fornecedor Alfa;Loja Norte
PC000316;28;292,46;Fornecedor Gamma;Loja Norte
PC000317;80;240,67;Fornecedor Gamma;Loja Norte
PC000318;19;331,36;Fornecedor Beta;Loja Norte
PC000319;58;44,08;Fornecedor Beta;Loja Norte
PC000320;56;34,68;Fornecedor Gamma;Loja Norte
PC000321;14;117,22;Fornecedor Alfa;Loja Norte
PC000322;94;78,52;Fornecedor Gamma;Loja Norte
PC000323;28;393,33;Fornecedor Delta;Loja Norte
PC000324;34;104,89;Fornecedor Delta;Loja Norte
PC000325;20;439,33;Fornecedor Beta;Loja Norte
PC000326;45;156,91;Fornecedor Alfa;Loja Norte
PC000327;25;88,5;Fornecedor Alfa;Loja Norte
PC000328;15;357,05;Fornecedor Delta;Loja Norte
PC000329;36;299,15;Fornecedor Gamma;Loja Norte
PC000330;5;228,2;Fornecedor Beta;Loja Norte
PC000331;19;253,47;Fornecedor Gamma;Loja Norte
PC000332;27;325,89;Fornecedor Gamma;Loja Norte
PC000333;65;108,98;Fornecedor Gamma;Loja Norte
PC000334;29;448,38;Fornecedor Alfa;Loja Norte
PC000335;51;438,86;Fornecedor Delta;Loja Norte
PC000336;19;295,44;Fornecedor Alfa;Loja Norte
PC000337;30;96,2;Fornecedor Delta;Loja Norte
PC000338;49;308,66;Fornecedor Beta;Loja Norte
PC000339;51;39,91;Fornecedor Beta;Loja Norte
PC000340;18;21,55;Fornecedor Gamma;Loja Norte
PC000341;12;121,9;Fornecedor Delta;Loja Norte
PC000342;41;212,48;Fornecedor Delta;Loja Norte
PC000343;28;391,78;Fornecedor Delta;Loja Norte
PC000344;11;329,41;Fornecedor Gamma;Loja Norte
PC000345;20;336,28;Fornecedor Gamma;Loja Norte
PC000346;32;196,07;Fornecedor Beta;Loja Norte
PC000347;88;160,9;Fornecedor Alfa;Loja Norte
PC000348;26;172,0;Fornecedor Delta;Loja Norte
PC000349;30;444,54;Fornecedor Delta;Loja Norte
PC000350;54;25,73;Fornecedor Alfa;Loja Norte
PC000351;39;391,23;Fornecedor Delta;Loja Norte
PC000352;68;263,77;Fornecedor Gamma;Loja Norte
PC000353;3;201,87;Fornecedor Gamma;Loja Norte
PC000354;13;328,56;Fornecedor Delta;Loja Norte
PC000355;47;223,11;Fornecedor Gamma;Loja Norte
PC000356;61;394,05;Fornecedor Gamma;Loja Norte
PC000357;42;406,11;Fornecedor Delta;Loja Norte
PC000358;17;194,4;Fornecedor Beta;Loja Norte
PC000359;26;130,36;Fornecedor Alfa;Loja Norte
PC000360;74;269,82;Fornecedor Gamma;Loja Norte
PC000361;73;411,26;Fornecedor Beta;Loja Norte
PC000362;24;101,11;Fornecedor Gamma;Loja Norte
PC000363;3;283,35;Fornecedor Gamma;Loja Norte
PC000364;23;287,15;Fornecedor Alfa;Loja Norte
PC000365;31;332,04;Fornecedor Gamma;Loja Norte
PC000366;17;66,15;Fornecedor Alfa;Loja Norte
PC000367;66;324,39;Fornecedor Alfa;Loja Norte
PC000368;43;409,79;Fornecedor Alfa;Loja Norte
PC000369;44;87,42;Fornecedor Beta;Loja Norte
PC000370;130;112,99;Fornecedor Delta;Loja Norte
PC000371;24;437,36;Fornecedor Beta;Loja Norte
PC000372;70;87,99;Fornecedor Delta;Loja Norte
PC000373;11;385,64;Fornecedor Delta;Loja Norte
PC000374;50;225,59;Fornecedor Alfa;Loja Norte
PC000375;37;117,28;Fornecedor Gamma;Loja Norte
PC000376;23;392,87;Fornecedor Alfa;Loja Norte
PC000377;32;204,82;Fornecedor Gamma;Loja Norte
PC000378;47;235,55;Fornecedor Delta;Loja Norte
PC000379;28;166,78;Fornecedor Alfa;Loja Norte
PC000380;31;270,08;Fornecedor Gamma;Loja Norte
PC000381;20;80,28;Fornecedor Beta;Loja Norte
PC000382;62;180,86;Fornecedor Gamma;Loja Norte
PC000383;13;436,48;Fornecedor Alfa;Loja Norte
PC000384;38;122,09;Fornecedor Beta;Loja Norte
PC000385;91;298,28;Fornecedor Gamma;Loja Norte
PC000386;18;151,73;Fornecedor Gamma;Loja Norte
PC000387;23;349,88;Fornecedor Gamma;Loja Norte
PC000388;23;65,85;Fornecedor Gamma;Loja Norte
PC000389;51;436,66;Fornecedor Gamma;Loja Norte
PC000390;46;208,57;Fornecedor Beta;Loja Norte
PC000391;36;112,33;Fornecedor Delta;Loja Norte
PC000392;24;40,49;Fornecedor Beta;Loja Norte
PC000393;26;83,03;Fornecedor Beta;Loja Norte
PC000394;74;237,74;Fornecedor Beta;Loja Norte
PC000395;34;156,96;Fornecedor Delta;Loja Norte
PC000396;48;374,37;Fornecedor Alfa;Loja Norte
PC000397;27;198,45;Fornecedor Delta;Loja Norte
PC000398;35;117,93;Fornecedor Beta;Loja Norte
PC000399;7;280,78;Fornecedor Gamma;Loja Norte
PC000400;13;320,4;Fornecedor Gamma;Loja Norte
PC000401;78;81,83;Fornecedor Beta;Loja Norte
PC000402;59;82,09;Fornecedor Gamma;Loja Norte
PC000403;14;24,21;Fornecedor Beta;Loja Norte
PC000404;43;333,49;Fornecedor Gamma;Loja Norte
PC000405;35;301,4;Fornecedor Delta;Loja Norte
PC000406;51;217,79;Fornecedor Alfa;Loja Norte
PC000407;49;381,12;Fornecedor Alfa;Loja Norte
PC000408;11;364,11;Fornecedor Delta;Loja Norte
PC000409;39;266,73;Fornecedor Delta;Loja Norte
PC000410;25;391,78;Fornecedor Beta;Loja Norte
PC000411;55;98,98;Fornecedor Beta;Loja Norte
PC000412;14;57,47;Fornecedor Beta;Loja Norte
PC000413;27;127,23;Fornecedor Gamma;Loja Norte
PC000414;62;33,23;Fornecedor Beta;Loja Norte
PC000415;33;242,78;Fornecedor Delta;Loja Norte
PC000416;37;421,98;Fornecedor Alfa;Loja Norte
PC000417;9;25,39;Fornecedor Gamma;Loja Norte
PC000418;31;61,97;Fornecedor Beta;Loja Norte
PC000419;13;207,87;Fornecedor Gamma;Loja Norte
PC000420;44;420,77;Fornecedor Gamma;Loja Norte
PC000421;95;147,74;Fornecedor Beta;Loja Norte
PC000422;57;232,2;Fornecedor Gamma;Loja Norte
PC000423;14;26,38;Fornecedor Alfa;Loja Norte
PC000424;30;73,57;Fornecedor Delta;Loja Norte
PC000425;31;444,09;Fornecedor Delta;Loja Norte
PC000426;37;434,58;Fornecedor Alfa;Loja Norte
PC000427;28;10,18;Fornecedor Gamma;Loja Norte
PC000428;59;428,7;Fornecedor Beta;Loja Norte
PC000429;40;290,49;Fornecedor Gamma;Loja Norte
PC000430;20;391,62;Fornecedor Alfa;Loja Norte
PC000431;30;209,0;Fornecedor Gamma;Loja Norte
PC000432;90;235,89;Fornecedor Delta;Loja Norte
PC000433;10;224,07;Fornecedor Gamma;Loja Norte
PC000434;108;302,75;Fornecedor Alfa;Loja Norte
PC000435;153;69,73;Fornecedor Delta;Loja Norte
PC000436;22;21,25;Fornecedor Gamma;Loja Norte
PC000437;55;144,11;Fornecedor Gamma;Loja Norte
PC000438;37;319,47;Fornecedor Delta;Loja Norte
PC000439;17;97,22;Fornecedor Beta;Loja Norte
PC000440;46;305,66;Fornecedor Delta;Loja Norte
PC000441;101;436,7;Fornecedor Beta;Loja Norte
PC000442;55;49,5;Fornecedor Alfa;Loja Norte
PC000443;40;305,29;Fornecedor Alfa;Loja Norte
PC000444;11;204,14;Fornecedor Delta;Loja Norte
PC000445;36;391,72;Fornecedor Delta;Loja Norte
PC000446;22;86,3;Fornecedor Alfa;Loja Norte
PC000447;46;314,14;Fornecedor Beta;Loja Norte
PC000448;15;378,45;Fornecedor Alfa;Loja Norte
PC000449;30;425,52;Fornecedor Delta;Loja Norte
PC000450;27;310,0;Fornecedor Alfa;Loja Norte
PC000451;20;227,75;Fornecedor Delta;Loja Norte
PC000452;69;281,09;Fornecedor Delta;Loja Norte
PC000453;14;392,06;Fornecedor Alfa;Loja Norte
PC000454;50;260,21;Fornecedor Beta;Loja Norte
PC000455;9;21,43;Fornecedor Gamma;Loja Norte
PC000456;26;419,48;Fornecedor Alfa;Loja Norte
PC000457;95;312,77;Fornecedor Gamma;Loja Norte
PC000458;41;307,02;Fornecedor Alfa;Loja Norte
PC000459;54;103,33;Fornecedor Gamma;Loja Norte
PC000460;75;299,23;Fornecedor Beta;Loja Norte
PC000461;13;182,09;Fornecedor Beta;Loja Norte
PC000462;56;295,84;Fornecedor Alfa;Loja Norte
PC000463;9;55,11;Fornecedor Delta;Loja Norte
PC000464;38;298,77;Fornecedor Gamma;Loja Norte
PC000465;17;449,74;Fornecedor Delta;Loja Norte
PC000466;2;29,31;Fornecedor Delta;Loja Norte
PC000467;26;439,91;Fornecedor Delta;Loja Norte
PC000468;48;187,85;Fornecedor Beta;Loja Norte
